sige,time,eps,Tabs
20.64097,22.94693287,0.1059142,318.15
20.65537,22.96778935,0.1059571,318.15
20.65999,22.98864583,0.105991,318.15
20.64793,23.00951389,0.1060323,318.15
20.64946,23.03034722,0.1060733,318.15
20.64278,23.0512037,0.1061111,318.15
20.65198,23.07206019,0.1061504,318.15
20.6594,23.09291667,0.1061903,318.15
20.6433,23.11377315,0.1062289,318.15
20.64594,23.1346412,0.1062713,318.15
20.64868,23.15547454,0.1063107,318.15
20.64668,23.17634259,0.1063497,318.15
20.64351,23.1971875,0.1063897,318.15
20.64921,23.21804398,0.1064268,318.15
20.65656,23.23888889,0.1064697,318.15
20.65052,23.25975694,0.1065062,318.15
20.65201,23.28060185,0.1065472,318.15
20.64831,23.30145833,0.1065838,318.15
20.65106,23.32230324,0.1066233,318.15
20.65248,23.34314815,0.1066668,318.15
20.65229,23.36398148,0.1067056,318.15
20.65792,23.38483796,0.1067451,318.15
20.64425,23.40570602,0.1067816,318.15
20.65277,23.42655093,0.1068241,318.15
20.67899,23.44740741,0.1068647,318.15
20.64466,23.46824074,0.1069031,318.15
20.64143,23.48908565,0.1069461,318.15
20.65299,23.50993056,0.1069832,318.15
20.64862,23.53076389,0.1070249,318.15
20.64787,23.55162037,0.1070628,318.15
20.64461,23.57247685,0.1071053,318.15
20.66183,23.59333333,0.1071404,318.15
20.64829,23.61416667,0.1071836,318.15
20.6716,23.63503472,0.1072225,318.15
20.64667,23.6558912,0.107263,318.15
20.65576,23.67673611,0.1073036,318.15
20.66028,23.69758102,0.1073434,318.15
20.65659,23.71844907,0.107379,318.15
20.64692,23.73931713,0.1074204,318.15
20.64958,23.76016204,0.1074617,318.15
20.64226,23.78099537,0.1075041,318.15
20.65083,23.80184028,0.1075435,318.15
20.65237,23.82269676,0.1075835,318.15
20.64862,23.84355324,0.1076226,318.15
20.67484,23.86439815,0.1076614,318.15
20.65883,23.8852662,0.1076971,318.15
20.64627,23.90612269,0.1077369,318.15
20.64887,23.92697917,0.1077806,318.15
20.64751,23.94784722,0.1078193,318.15
20.65602,23.96869213,0.1078606,318.15
20.68809,23.98956019,0.1079007,318.15
20.65676,24.01041667,0.1079396,318.15
20.65353,24.03125,0.1079816,318.15
20.64392,24.05211806,0.1080201,318.15
20.64843,24.07296296,0.1080582,318.15
20.64813,24.0937963,0.1081008,318.15
20.66497,24.1146412,0.1081394,318.15
20.64306,24.13550926,0.1081768,318.15
20.64279,24.15635417,0.1082182,318.15
20.65959,24.1771875,0.1082572,318.15
20.6412,24.19804398,0.1082952,318.15
20.64615,24.21888889,0.1083386,318.15
20.66945,24.23974537,0.1083757,318.15
20.64749,24.26060185,0.1084156,318.15
20.64435,24.28145833,0.1084534,318.15
20.64885,24.30231481,0.1084933,318.15
20.65347,24.32318287,0.1085365,318.15
20.66537,24.3440162,0.1085726,318.15
20.64053,24.36488426,0.1086114,318.15
20.66497,24.38574074,0.1086492,318.15
20.65358,24.40659722,0.1086909,318.15
20.64103,24.42744213,0.1087306,318.15
20.64073,24.44828704,0.108772,318.15
20.65454,24.46913194,0.1088129,318.15
20.65726,24.48998843,0.1088524,318.15
20.64765,24.51084491,0.1088916,318.15
20.64629,24.53170139,0.108928,318.15
20.65193,24.55255787,0.1089694,318.15
20.64224,24.57341435,0.1090121,318.15
20.64668,24.59425926,0.1090521,318.15
20.64948,24.61510417,0.109088,318.15
20.65804,24.63597222,0.1091265,318.15
20.66538,24.65681713,0.1091694,318.15
20.65588,24.67767361,0.1092043,318.15
20.66791,24.69853009,0.1092449,318.15
20.66001,24.71939815,0.1092875,318.15
20.64456,24.74025463,0.1093267,318.15
20.6501,24.76108796,0.1093698,318.15
20.65165,24.78193287,0.1094074,318.15
20.64204,24.80277778,0.1094484,318.15
20.65294,24.82361111,0.1094882,318.15
20.65518,24.84446759,0.1095214,318.15
20.64809,24.86533565,0.1095645,318.15
20.64824,24.88616898,0.1096013,318.15
20.65032,24.90702546,0.1096441,318.15
20.64658,24.92787037,0.1096821,318.15
20.65837,24.94873843,0.1097225,318.15
20.65078,24.96956019,0.1097616,318.15
20.64404,24.99041667,0.1098039,318.15
20.64268,25.01126157,0.1098433,318.15
